img1,img2,label
augmented_full3/page_05_t2.png,augmented_full3/page_07_t2.png,1
augmented_full3/page_05_t2.png,augmented_full3/page_279_t2.png,0
augmented_full3/page_06_t2.png,augmented_full3/page_08_t2.png,1
augmented_full3/page_06_t2.png,augmented_full3/page_80_t2.png,0
augmented_full3/page_07_t2.png,augmented_full3/page_09_t2.png,1
augmented_full3/page_07_t2.png,augmented_full3/page_309_t2.png,0
augmented_full3/page_08_t2.png,augmented_full3/page_10_t2.png,1
augmented_full3/page_08_t2.png,augmented_full3/page_28_t2.png,0
augmented_full3/page_09_t2.png,augmented_full3/page_11_t2.png,1
augmented_full3/page_09_t2.png,augmented_full3/page_47_t2.png,0
augmented_full3/page_10_t2.png,augmented_full3/page_12_t2.png,1
augmented_full3/page_10_t2.png,augmented_full3/page_318_t2.png,0
augmented_full3/page_11_t2.png,augmented_full3/page_13_t2.png,1
augmented_full3/page_11_t2.png,augmented_full3/page_297_t2.png,0
augmented_full3/page_28_t2.png,augmented_full3/page_30_t2.png,1
augmented_full3/page_28_t2.png,augmented_full3/page_36_t2.png,0
augmented_full3/page_29_t2.png,augmented_full3/page_31_t2.png,1
augmented_full3/page_29_t2.png,augmented_full3/page_321_t2.png,0
augmented_full3/page_30_t2.png,augmented_full3/page_32_t2.png,1
augmented_full3/page_30_t2.png,augmented_full3/page_308_t2.png,0
augmented_full3/page_31_t2.png,augmented_full3/page_33_t2.png,1
augmented_full3/page_31_t2.png,augmented_full3/page_327_t2.png,0
augmented_full3/page_32_t2.png,augmented_full3/page_34_t2.png,1
augmented_full3/page_32_t2.png,augmented_full3/page_328_t2.png,0
augmented_full3/page_33_t2.png,augmented_full3/page_35_t2.png,1
augmented_full3/page_33_t2.png,augmented_full3/page_411_t2.png,0
augmented_full3/page_34_t2.png,augmented_full3/page_36_t2.png,1
augmented_full3/page_34_t2.png,augmented_full3/page_322_t2.png,0
augmented_full3/page_35_t2.png,augmented_full3/page_37_t2.png,1
augmented_full3/page_35_t2.png,augmented_full3/page_47_t2.png,0
augmented_full3/page_36_t2.png,augmented_full3/page_38_t2.png,1
augmented_full3/page_36_t2.png,augmented_full3/page_334_t2.png,0
augmented_full3/page_37_t2.png,augmented_full3/page_39_t2.png,1
augmented_full3/page_37_t2.png,augmented_full3/page_419_t2.png,0
augmented_full3/page_38_t2.png,augmented_full3/page_40_t2.png,1
augmented_full3/page_38_t2.png,augmented_full3/page_292_t2.png,0
augmented_full3/page_39_t2.png,augmented_full3/page_41_t2.png,1
augmented_full3/page_39_t2.png,augmented_full3/page_411_t2.png,0
augmented_full3/page_40_t2.png,augmented_full3/page_42_t2.png,1
augmented_full3/page_40_t2.png,augmented_full3/page_78_t2.png,0
augmented_full3/page_41_t2.png,augmented_full3/page_43_t2.png,1
augmented_full3/page_41_t2.png,augmented_full3/page_77_t2.png,0
augmented_full3/page_42_t2.png,augmented_full3/page_44_t2.png,1
augmented_full3/page_42_t2.png,augmented_full3/page_334_t2.png,0
augmented_full3/page_43_t2.png,augmented_full3/page_45_t2.png,1
augmented_full3/page_43_t2.png,augmented_full3/page_283_t2.png,0
augmented_full3/page_44_t2.png,augmented_full3/page_46_t2.png,1
augmented_full3/page_44_t2.png,augmented_full3/page_66_t2.png,0
augmented_full3/page_45_t2.png,augmented_full3/page_47_t2.png,1
augmented_full3/page_45_t2.png,augmented_full3/page_305_t2.png,0
augmented_full3/page_46_t2.png,augmented_full3/page_48_t2.png,1
augmented_full3/page_46_t2.png,augmented_full3/page_334_t2.png,0
augmented_full3/page_47_t2.png,augmented_full3/page_49_t2.png,1
augmented_full3/page_47_t2.png,augmented_full3/page_63_t2.png,0
augmented_full3/page_48_t2.png,augmented_full3/page_50_t2.png,1
augmented_full3/page_48_t2.png,augmented_full3/page_314_t2.png,0
augmented_full3/page_49_t2.png,augmented_full3/page_51_t2.png,1
augmented_full3/page_49_t2.png,augmented_full3/page_71_t2.png,0
augmented_full3/page_50_t2.png,augmented_full3/page_52_t2.png,1
augmented_full3/page_50_t2.png,augmented_full3/page_62_t2.png,0
augmented_full3/page_51_t2.png,augmented_full3/page_53_t2.png,1
augmented_full3/page_51_t2.png,augmented_full3/page_333_t2.png,0
augmented_full3/page_52_t2.png,augmented_full3/page_54_t2.png,1
augmented_full3/page_52_t2.png,augmented_full3/page_410_t2.png,0
augmented_full3/page_53_t2.png,augmented_full3/page_55_t2.png,1
augmented_full3/page_53_t2.png,augmented_full3/page_319_t2.png,0
augmented_full3/page_54_t2.png,augmented_full3/page_56_t2.png,1
augmented_full3/page_54_t2.png,augmented_full3/page_410_t2.png,0
augmented_full3/page_55_t2.png,augmented_full3/page_57_t2.png,1
augmented_full3/page_55_t2.png,augmented_full3/page_323_t2.png,0
augmented_full3/page_56_t2.png,augmented_full3/page_58_t2.png,1
augmented_full3/page_56_t2.png,augmented_full3/page_312_t2.png,0
augmented_full3/page_57_t2.png,augmented_full3/page_59_t2.png,1
