img1,img2,label
manuscript_images/page_03.jpg,manuscript_images/page_05.jpg,1
manuscript_images/page_03.jpg,manuscript_images/page_41.jpg,0
manuscript_images/page_04.jpg,manuscript_images/page_06.jpg,1
manuscript_images/page_04.jpg,manuscript_images/page_30.jpg,0
manuscript_images/page_05.jpg,manuscript_images/page_07.jpg,1
manuscript_images/page_05.jpg,manuscript_images/page_09.jpg,0
manuscript_images/page_06.jpg,manuscript_images/page_08.jpg,1
manuscript_images/page_06.jpg,manuscript_images/page_48.jpg,0
manuscript_images/page_07.jpg,manuscript_images/page_09.jpg,1
manuscript_images/page_07.jpg,manuscript_images/page_29.jpg,0
manuscript_images/page_08.jpg,manuscript_images/page_10.jpg,1
manuscript_images/page_08.jpg,manuscript_images/page_52.jpg,0
manuscript_images/page_09.jpg,manuscript_images/page_11.jpg,1
manuscript_images/page_09.jpg,manuscript_images/page_43.jpg,0
manuscript_images/page_10.jpg,manuscript_images/page_12.jpg,1
manuscript_images/page_10.jpg,manuscript_images/page_46.jpg,0
manuscript_images/page_11.jpg,manuscript_images/page_13.jpg,1
manuscript_images/page_11.jpg,manuscript_images/page_55.jpg,0
manuscript_images/page_12.jpg,manuscript_images/page_14.jpg,1
manuscript_images/page_12.jpg,manuscript_images/page_44.jpg,0
manuscript_images/page_13.jpg,manuscript_images/page_15.jpg,1
manuscript_images/page_13.jpg,manuscript_images/page_37.jpg,0
manuscript_images/page_14.jpg,manuscript_images/page_16.jpg,1
manuscript_images/page_14.jpg,manuscript_images/page_54.jpg,0
manuscript_images/page_15.jpg,manuscript_images/page_17.jpg,1
manuscript_images/page_15.jpg,manuscript_images/page_39.jpg,0
manuscript_images/page_16.jpg,manuscript_images/page_18.jpg,1
manuscript_images/page_16.jpg,manuscript_images/page_30.jpg,0
manuscript_images/page_17.jpg,manuscript_images/page_19.jpg,1
manuscript_images/page_17.jpg,manuscript_images/page_55.jpg,0
manuscript_images/page_18.jpg,manuscript_images/page_20.jpg,1
manuscript_images/page_18.jpg,manuscript_images/page_46.jpg,0
manuscript_images/page_19.jpg,manuscript_images/page_21.jpg,1
manuscript_images/page_19.jpg,manuscript_images/page_51.jpg,0
